ARS,1200,1216.0,1232.0,1215.93232735724,1215.09821973193,1212.35819838037,1226.57926252178,1225.30555799413,1240.97484709203,1222.40698264276,1222.02913219124,1221.04907890231,1207.34546803259,1203.5245708357,1199.75278580818,1182.01534391012,1196.72266759277,1183.8761548927,1182.77412712541,1181.18856199988,1166.6245856356,1186.01943833179,1186.46367775785,1188.19655898639,1189.55947803722
AVL,1200,1184.0,1168.73630679352,1186.8662547366,1171.53681742719,1173.56873122195,1159.34766708054,1161.30455410112,1177.09730939599,1193.46105618517,1180.02701634141,1170.03825468888,1155.49235117537,1173.53531732309,1174.8859087787,1162.0529655974,1152.63481467358,1139.29722577322,1122.76358891171,1137.4944411175,1121.18968535761,1138.97090152377,1130.02332087113,1131.31631838471,1149.62567504094
BHA,1200,1216.0,1214.53049847102,1196.4669204335,1182.09605242047,1182.28344995112,1181.81602737707,1166.79688377735,1184.99733177407,1168.63358498489,1184.71670941136,1198.21010237321,1181.63465134603,1170.25767469304,1161.87536211541,1179.61280401347,1182.5303811342,1183.57669141368,1169.44482568878,1155.41027990016,1171.15268565923,1173.70350224866,1158.16176614701,1156.86876863343,1137.70115078846
BOU,1200,1200.0,1215.26369320648,1199.29760133665,1184.0677377004,1201.41067779078,1217.55424857686,1218.12323906006,1202.45394996217,1199.65354385136,1196.73679333104,1212.97680452753,1195.58638374255,1180.53671237412,1165.34546942931,1150.72344364544,1143.52862903596,1163.68881117962,1148.23064354626,1149.8162086718,1134.07380291272,1117.93894201521,1104.20544800888,1087.16442567915,1106.33204352412
BUR,1200,1216.0,1200.0,1200.03390813017,1186.16552418352,1185.97812665287,1202.05473122723,1200.09784420665,1214.53714915564,1199.23524284948,1185.35674169937,1170.16211879262,1186.47409278703,1200.49792188882,1183.47807983228,1171.52043837818,1156.68096268755,1175.45905229799,1190.91721993134,1173.54333344675,1160.02928934031,1142.24807317416,1129.96533841401,1152.61757019182,1171.86495938394
CHE,1200,1184.0,1184.73630679352,1201.43877396605,1201.33705109777,1216.56403136377,1203.14179525886,1218.16093885858,1232.08791973021,1245.57586288502,1259.45436403513,1270.09957377611,1282.93801135787,1265.90397532418,1244.5775723269,1257.4105155082,1235.98840115944,1215.82821901579,1232.43195938316,1212.45555544453,1227.0195318088,1224.46871521938,1236.75144997952,1217.86386531455,1216.50094626372
CRY,1200,1200.0,1184.0,1201.43587287828,1216.76531018769,1199.93125422033,1198.52478274309,1213.28572392215,1230.02479795878,1214.2005385363,1214.57838898783,1200.53207608324,1187.69363850148,1178.32226862669,1195.34211068323,1209.9641364671,1205.28319081395,1204.23688053447,1187.98862982297,1202.49203447719,1200.73641774027,1195.66845486467,1195.22421543861,1200.42148784856,1183.96267851271
EVE,1200,1200.0,1215.26369320648,1197.1337452634,1213.29808204658,1195.9551419562,1179.35008610637,1166.09967911267,1151.66037416368,1170.43862521129,1154.35550078481,1155.66144008086,1170.84541236578,1151.66588736465,1141.9683260233,1134.82512939466,1156.24724374341,1159.90797619571,1161.010003963,1178.38389044759,1195.32956900579,1183.65729877635,1199.199034878,1196.23965715511,1196.05554535833
LEI,1200,1200.0,1199.26369320648,1216.03383302112,1231.26369665736,1213.70703107478,1229.78829357653,1243.17811679028,1229.70569120725,1245.00759751342,1257.21491420151,1271.2612271061,1284.96483797582,1296.34181462882,1306.03937597017,1313.97050754557,1323.38865846939,1314.21735617559,1296.59898221382,1284.3109966945,1294.05752207849,1305.06876302013,1283.72656287612,1261.0743310983,1271.59763174293
LIV,1200,1216.0,1230.53049847102,1246.59817111378,1260.46655506044,1273.03145739872,1286.45369350363,1298.52722596047,1311.99965154349,1306.28797069345,1317.28014684009,1327.26890849261,1340.83571232233,1350.20708219711,1358.58939477474,1365.73259140339,1372.92740601287,1378.69910966403,1390.98709518335,1400.94898951146,1409.27721733241,1416.70862972958,1424.93497433148,1432.99232009188
